??Title	Description	Creator	Subject	Date	Coverage - Geographic	Extent	Genre	Type of Material	Language	Note	Identifier	Provenance	Use Rights	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
																				
																				
"House for G.W. Mitchell, Runnymede Ave., Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for George W. Mitchell of Oak Bay, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	3/26/1905	"2027 Runnymede Avenue, Oak Bay, B.C."	"1 of 13 drawings: 3 pencil on paper, 10 ink on linen; 52 x 66 cm or smaller"	architectural drawings AAT		eng	"Plans, elevations, sections and details. Two-storey house with part basement and attic. The basement contains a laundry room and water closet. The ground floor consists of a vestibule, hall, lavatory, living room, dining room, kitchen, pantry, veranda and conservatory. The second floor includes three bedrooms, a child's room and two bathrooms. The attic comprises a storeroom and sewing room. The wood-frame construction is finished in roughcast, and leaded glass windows are specified throughout. The contract drawings (AP1234-AP1239) are signed: ""Rod. McLennan [and] George W. Mitchell""."	"SC075, Acc. 1980-067, AP1239"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3069	3069	3070.jp2	/collection35/image/3070.jp2
"Proposed new house, Beaver St., Oak Bay, for Mrs. Unwin"	Item is an architectural drawing by Harry Daborn Day prepared for Hilda Unwin of Oak Bay.	"Day, Harry Daborn"	Architecture	[19--]	"2178 Beaverbrooke Place (formerly Beaver Street), Oak Bay"	"1 of 3 drawings: 1 pencil on paper, 2 ink on linen; 56 x 69 cm or smaller"	architectural drawings AAT	Still Image	eng	"Plans, elevations, section and details. Two-storey house with basement. The ground floor comprises a vestibule, hall, drawing room, living room, kitchen, pantry, bedroom and lavatory. The second floor (called first floor on the drawing) contains three bedrooms and a bathroom. The exterior walls are finished in shingles. A further drawing (AP2082) ""Alterations to house, Beaver St., Oak Bay, for Miss E. Unwin, shows the conversion of the ground floor bedroom, drawing room and lavatory into a suite consisting of a living room, bedroom, kitchen and bathroom. Signed: ""Teed & Cummings per E H Cummings."""	"SC075, Acc. 1980-067, AP2081"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3869	3869	3870.jp2	/collection35/image/3870.jp2
																				
"Plan of bungalow at Ten Mile Point for G.H.S. Edwardes, Esq."	"Item is an architectural drawing by Samuel Maclure prepared for G.H.S. Edwardes of Saanich, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	4/5/1905	"3026 McAnally Road, Saanich, B.C."	1 of 8 drawings: pencil on paper; 66 x 92 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans, elevations, section and details. Plan for a one-storey house with attic. The ground floor comprises a veranda, living room, kitchen, pantry, two bedrooms and bathroom. Drawings signed ""R.S. Trew [and] G H S Edwardes""."	"SC075, Acc. 1980-067, AP512"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2345	2345	2346.jp2	/collection35/image/2346.jp2
"House for F.C. Green, Foul Bay Road, Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for F.C. Green of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	8/1/1911	"347 Foul Bay Road, Victoria, B.C."	1 of 9 drawings: ink on linen; 40 x 26 cm or smaller	architectural drawings AAT	Still Image	eng	"Plans, elevations, sections and details. Some drawings have additions or changes in pencil. Two-storey house with basement and attic. The ground floor includes a porch, hall, living room, conservatory, children's room, dining room, kitchen, pantry and back porch. The second floor consists of a hall, four bedrooms, a sewing room, two bathrooms, a water closet and a balcony. The attic contains a hall, two bedrooms, a storeroom and box room. The basement wall is stone or stone faced, and the wood-frame construction above is finished in roughcast and half timbering. Leaded glass is specified for the windows throughout. All plans signed by J.E. Shenk and F.C. Green."	"SC075, Acc. 1980-067, AP728"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/2558	2558	2559.jp2	/collection35/image/2559.jp2
																				
																				
"Residence for W.P.D. Pemberton, Esq., Foul Bay Road, Victoria, B.C."	"Item is an architectural drawing by Samuel Maclure prepared for W.P.D. Pemberton of Victoria, B.C."	"Maclure, Samuel, 1860-1929"	Architecture	1928-1929	"611 Foul Bay Road, Victoria, B.C."	"1 of 36 drawings: 23 pencil on paper, 9 ink on paper, 3 blueprints, 1 watercolour; 66 x 92 cm or smaller"	architectural drawings AAT	Still Image	eng	"Contract drawings (AP1420-AP1427) show plans, elevations and section. Wiring and outlets are added to blueprints of the floor plans. The remainder of the plans are drawings of room details and shop drawings for woodwork, mantels, etc. A detailed item list is available. Two-storey house with basement. The basement contains a furnace room, fuel bin and a laundry area. The ground floor comprises a vestibule with adjoining cloak room and water closet, hall, library, living room, sun room, dining room, kitchen, pantry, larder, garage and veranda. The second floor includes four bedrooms, dressing room, two bathrooms and two balconies. The ground floor exterior walls are finished in roughcast and the second floor in half timbering. Plans call for liberal use of leaded glass windows. Contract drawings are signed: ""William, Trerise & Williams per Ed Williams [and] W P D Pemberton. McDowell & Mann per C J McDowell as to plg & htg""."	"SC075, Acc. 1980-067, AP1441.3"	"Samuel Maclure fonds (SC075), Special Collections and University Archives, University of Victoria"	"This material may be protected by copyright. Personal use of this material is without restriction but acknowledgement of Special Collections and University Archives, University of Victoria is requested whether the use is oral, web or in print. Commercial use of any portion of this material requires permission from Special Collections and University Archives."		4/13/2017	4/13/2017	http://contentdm.library.uvic.ca:80/cdm/ref/collection/collection35/id/3281	3281	3282.jp2	/collection35/image/3282.jp2
